用户ID,商品ID,品牌,品牌ID,商品名称,商品类别,商品类目ID,行为类型,时间戳,售价
271720,1174435,李宁,693143,李宁运动服 训练系列 蓝色 M码,服装鞋帽,6347472,buy,1511707188,284.11
787351,6604951,H&M,912310,H&M男士衬衫 棕色 S码,服装鞋帽,6347472,buy,1512018311,340.34
768854,3739556,李宁,693143,李宁运动鞋 超轻20 红色 40码,服装鞋帽,6347472,buy,1511974740,570.87
272655,7646024,ZARA,1667,ZARA商务衬衫 白色 M码,服装鞋帽,6347472,buy,1512012737,314.05
971728,8821418,资生堂,318919,资生堂红腰子精华 50ml,美妆护肤,7040903,buy,1512158392,870.74
478221,5089357,H&M,912310,H&M基础款T恤 黄色 S码,服装鞋帽,6347472,buy,1511888160,114.97
437978,5551267,伊利,353571,伊利金典 250ml*12盒,食品饮料,7142910,buy,1511783255,95.96
551096,4547348,OPPO,455018,OPPOReno11 Pro 256GB 绿色,电子产品,1788515,buy,1511974216,1774.2
101773,4603543,康师傅,358953,康师傅鲜虾鱼板面 100g*5袋,食品饮料,7142910,buy,1512278323,26.95
116547,4964744,戴尔,826566,戴尔游匣G15 i7/16GB/1TB,电子产品,1788515,buy,1512189658,7884.27
908554,6998086,资生堂,318919,资生堂悦薇面霜 50ml,美妆护肤,7040903,buy,1511952559,1319.95
444056,4893768,森马,329714,森马商务衬衫 红色 M码,服装鞋帽,6347472,buy,1512327122,160.67
442722,3156543,OPPO,455018,OPPOFind X7 512GB 白色,电子产品,1788515,buy,1511668279,2766.11
685864,1988867,荣耀,111804,荣耀Magic6 Pro 512GB 紫色,电子产品,1788515,buy,1511906857,2037.51
531071,2288023,森马,329714,森马休闲外套 棕色 XL码,服装鞋帽,6347472,buy,1511834468,605.03
779514,3071935,太平鸟,295499,太平鸟连衣裙 红色 XXL码,服装鞋帽,6347472,buy,1512065268,640.94
299055,3061679,统一,188064,统一汤达人 130g*5袋,食品饮料,7142910,buy,1511869759,36.19
283594,7594339,西门子,718578,西门子洗碗机SJ236I00JC,家用电器,8888283,buy,1512023930,1103.42
728492,3061679,统一,188064,统一汤达人 130g*5袋,食品饮料,7142910,buy,1512293056,36.19
690996,8005001,耐克,901589,耐克运动鞋 Air Max 270 白色 42码,服装鞋帽,6347472,pv,1512046279,774.31
410636,1280459,荣耀,111804,荣耀Magic6 Pro Max 512GB 黑色,电子产品,1788515,buy,1511749655,6118.18
182237,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,buy,1512054492,176.21
404561,8771005,ZARA,1667,ZARA基础款T恤 灰色 S码,服装鞋帽,6347472,cart,1511657942,79.73
967611,2392644,优衣库,166135,优衣库衬衫 牛津纺 蓝色 L码,服装鞋帽,6347472,buy,1511810024,226.09
228093,204773,GAP,207780,GAP牛仔裤 直筒款 黑色 32码,服装鞋帽,6347472,buy,1511806242,303.67
762423,8758579,迪奥,822650,迪奥粉底液 010 30ml,美妆护肤,7040903,buy,1512014242,397.75
607719,9879328,宜家,593883,宜家马尔姆床 1.5m 白色,家居用品,2884020,buy,1512103103,1948.33
255287,4378399,全友,2509,全友鞋柜 80cm 棕色,家居用品,2884020,buy,1512126347,3179.19
755788,6753877,格力,434092,格力空调KFR-50LW/NhGc1B,家用电器,8888283,buy,1512230032,6044.88
796982,9302407,ZARA,1667,ZARA碎花连衣裙 黄色 L码,服装鞋帽,6347472,buy,1511757995,158.71
211834,7960554,荣耀,111804,荣耀Magic6 128GB 黑色,电子产品,1788515,pv,1511883622,3311.19
493892,148563,统一,188064,统一绿茶 500ml*12瓶,食品饮料,7142910,buy,1512176777,55.47
228473,7741678,统一,188064,百事可乐 330ml*24罐,食品饮料,7142910,buy,1512047116,36.5
688956,6604951,H&M,912310,H&M男士衬衫 棕色 S码,服装鞋帽,6347472,pv,1511815972,340.34
922478,9213213,蒙牛,124278,蒙牛早餐奶 250ml*16盒,食品饮料,7142910,buy,1511782286,87.16
650121,319015,顾家,257671,顾家储物床 1.5m 棕色,家居用品,2884020,buy,1512029685,2745.01
341296,2565212,ZARA,1667,ZARA修身牛仔裤 绿色 L码,服装鞋帽,6347472,fav,1512007164,203.03
549186,3787731,美的,528928,美的冰箱BCD-638WKPZM(E),家用电器,8888283,buy,1512308544,3261.4
290305,8021403,迪奥,822650,迪奥精华液 30ml,美妆护肤,7040903,buy,1511788656,411.26
422554,2288023,森马,329714,森马休闲外套 棕色 XL码,服装鞋帽,6347472,buy,1511726520,605.03
535810,5954090,华硕,838697,华硕天选4 i7/16GB/1TB,电子产品,1788515,buy,1512158076,2346.39
648141,5876807,欧派,934621,欧派布艺沙发 3人位 白色,家居用品,2884020,buy,1512088827,4397.9
707275,3609082,三星,517820,三星Galaxy Z Flip5 256GB,电子产品,1788515,buy,1512029264,7568.58
725550,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,buy,1511903638,176.21
400009,2734479,格力,434092,格力微波炉P70-20L,家用电器,8888283,pv,1512033144,1624.95
835392,5363058,西门子,718578,西门子洗衣机WM14U561HW,家用电器,8888283,buy,1512249540,5062.98
717024,7428837,欧派,934621,欧派岩板餐桌 1.4m 棕色,家居用品,2884020,buy,1511804169,2592.1
488712,9553189,伊利,353571,伊利安慕希 205g*12杯,食品饮料,7142910,buy,1511905567,52.38
213349,4603543,康师傅,358953,康师傅鲜虾鱼板面 100g*5袋,食品饮料,7142910,buy,1511979713,26.95
623555,5743270,联想,436330,联想ThinkPad X1 Carbon i7/16GB/1TB,电子产品,1788515,buy,1512001061,3534.12
561865,4912883,迪奥,822650,迪奥香水 花香调 50ml,美妆护肤,7040903,buy,1512261356,577.74
921874,1660574,耐克,901589,耐克运动袜 3双装 红色 XL码,服装鞋帽,6347472,cart,1511806189,399.74
362801,2369032,联想,436330,联想小新Pro16 i7/16GB/1TB,电子产品,1788515,buy,1511573591,12742.0
117007,1297632,顾家,257671,顾家茶几 60cm 灰色,家居用品,2884020,pv,1511848804,1642.62
929090,5382909,顾家,257671,顾家家居实木书桌 1.6m 棕色,家居用品,2884020,buy,1511928582,1790.83
358494,3111890,欧派,934621,欧派浴室柜 80cm 灰色,家居用品,2884020,buy,1511833950,2903.45
804938,7611004,索菲亚,803490,索菲亚推拉门衣柜 2.2m 黑色,家居用品,2884020,buy,1511740114,4644.84
604740,5743270,联想,436330,联想ThinkPad X1 Carbon i7/16GB/1TB,电子产品,1788515,buy,1511801178,3534.12
672079,6619218,GAP,207780,GAP卫衣 连帽款 蓝色 XL码,服装鞋帽,6347472,buy,1511754364,185.4
468074,8005001,耐克,901589,耐克运动鞋 Air Max 270 白色 42码,服装鞋帽,6347472,buy,1512024592,774.31
299659,8758579,迪奥,822650,迪奥粉底液 010 30ml,美妆护肤,7040903,buy,1511710499,397.75
888387,1723455,宜家,593883,宜家毕利书架 80cm 白色,家居用品,2884020,buy,1512071659,451.79
778120,3715670,统一,188064,百事美年达 330ml*24罐,食品饮料,7142910,buy,1511880818,38.77
456331,4912883,迪奥,822650,迪奥香水 花香调 50ml,美妆护肤,7040903,buy,1512233878,577.74
870214,4408643,迪奥,822650,迪奥烈焰蓝金口红 999号,美妆护肤,7040903,buy,1511984945,728.08
652029,7088888,顾家,257671,顾家餐桌 1.4m 原木色,家居用品,2884020,pv,1512261372,3672.27
177060,2369032,联想,436330,联想小新Pro16 i7/16GB/1TB,电子产品,1788515,buy,1511833666,12742.0
805000,8821418,资生堂,318919,资生堂红腰子精华 50ml,美妆护肤,7040903,pv,1511906290,870.74
572398,7741678,统一,188064,百事可乐 330ml*24罐,食品饮料,7142910,buy,1511658419,36.5
631756,4764854,雅诗兰黛,430064,雅诗兰黛小棕瓶精华 50ml,美妆护肤,7040903,pv,1512171700,2753.62
565471,3111890,欧派,934621,欧派浴室柜 80cm 灰色,家居用品,2884020,buy,1512119563,2903.45
354646,8021403,迪奥,822650,迪奥精华液 30ml,美妆护肤,7040903,buy,1511708286,411.26
410636,1174435,李宁,693143,李宁运动服 训练系列 蓝色 M码,服装鞋帽,6347472,pv,1511883273,284.11
789786,450016,资生堂,318919,资生堂洗面奶 120g,美妆护肤,7040903,cart,1512000632,644.72
993085,5363058,西门子,718578,西门子洗衣机WM14U561HW,家用电器,8888283,buy,1511960502,5062.98
403042,1458656,三星,517820,三星Galaxy S24 Ultra 1TB 黑色,电子产品,1788515,buy,1511912885,14990.7
726962,3250465,海尔,571650,海尔洗衣机G100368HBD14LSU1,家用电器,8888283,buy,1511971809,4195.69
843788,8033659,宜家,593883,宜家爱克托沙发 白色,家居用品,2884020,buy,1511828810,9036.23
134225,8021403,迪奥,822650,迪奥精华液 30ml,美妆护肤,7040903,buy,1511916624,411.26
582662,7954204,太平鸟,295499,太平鸟商务衬衫 白色 L码,服装鞋帽,6347472,buy,1511718886,429.08
842776,2734479,格力,434092,格力微波炉P70-20L,家用电器,8888283,buy,1511972293,1624.95
114768,274404,方太,877093,方太洗碗机JBSD2T-X1S,家用电器,8888283,pv,1511972051,775.68
684384,9868789,蒙牛,124278,蒙牛纯牛奶 250ml*24盒,食品饮料,7142910,pv,1511838613,62.87
950916,213997,VIVO,647850,VIVOX100 256GB 蓝色,电子产品,1788515,buy,1511627731,6667.81
294851,274404,方太,877093,方太洗碗机JBSD2T-X1S,家用电器,8888283,buy,1511871185,775.68
898329,2392644,优衣库,166135,优衣库衬衫 牛津纺 蓝色 L码,服装鞋帽,6347472,buy,1511984664,226.09
367382,8569010,蒙牛,124278,蒙牛特仑苏 250ml*12盒,食品饮料,7142910,buy,1511801841,44.26
460120,3715670,统一,188064,百事美年达 330ml*24罐,食品饮料,7142910,buy,1512224706,38.77
399607,5277473,康师傅,358953,康师傅红烧牛肉面 100g*5袋,食品饮料,7142910,buy,1511953122,14.29
972097,5089357,H&M,912310,H&M基础款T恤 黄色 S码,服装鞋帽,6347472,buy,1512289717,114.97
922157,7656052,苹果,849003,苹果iPhone 15 Pro Max 1TB 黑色,电子产品,1788515,buy,1512153360,6002.66
547494,4243294,康师傅,358953,康师傅冰红茶 500ml*12瓶,食品饮料,7142910,cart,1511832849,75.45
400814,5491240,老板,109436,老板消毒柜ZTD100S-W727,家用电器,8888283,buy,1511661351,2298.27
180674,1697102,安踏,179263,安踏运动外套 防风系列 蓝色 XL码,服装鞋帽,6347472,buy,1512041766,557.15
505785,7960554,荣耀,111804,荣耀Magic6 128GB 黑色,电子产品,1788515,buy,1511943546,3311.19
589491,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,buy,1511664864,5765.1
289179,6910038,阿迪达斯,652847,阿迪达斯运动鞋 Ultraboost 22 蓝色 41码,服装鞋帽,6347472,buy,1511629141,695.67
813813,1695816,雅诗兰黛,430064,雅诗兰黛抗蓝光眼霜 15ml,美妆护肤,7040903,buy,1512042748,1833.92
433632,7428837,欧派,934621,欧派岩板餐桌 1.4m 棕色,家居用品,2884020,buy,1512089314,2592.1
207473,1458656,三星,517820,三星Galaxy S24 Ultra 1TB 黑色,电子产品,1788515,buy,1511959093,14990.7
139110,9386381,ZARA,1667,ZARA休闲外套 黄色 XL码,服装鞋帽,6347472,cart,1511880298,928.24
109853,3787731,美的,528928,美的冰箱BCD-638WKPZM(E),家用电器,8888283,buy,1511880322,3261.4
519904,1462076,统一,188064,统一老坛酸菜面 120g*5袋,食品饮料,7142910,buy,1511893272,12.97
764926,5876807,欧派,934621,欧派布艺沙发 3人位 白色,家居用品,2884020,buy,1512119651,4397.9
639995,319015,顾家,257671,顾家储物床 1.5m 棕色,家居用品,2884020,buy,1511784933,2745.01
761820,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,buy,1511618005,5765.1
379766,6753877,格力,434092,格力空调KFR-50LW/NhGc1B,家用电器,8888283,buy,1512245320,6044.88
526673,274404,方太,877093,方太洗碗机JBSD2T-X1S,家用电器,8888283,buy,1511892512,775.68
399628,5954090,华硕,838697,华硕天选4 i7/16GB/1TB,电子产品,1788515,pv,1512180895,2346.39
564920,1280459,荣耀,111804,荣耀Magic6 Pro Max 512GB 黑色,电子产品,1788515,buy,1512281134,6118.18
645617,4073737,VIVO,647850,VIVOX100 Pro 128GB 蓝色,电子产品,1788515,buy,1511786366,6329.2
991014,4519006,太平鸟,295499,太平鸟直筒牛仔裤 红色 XXL码,服装鞋帽,6347472,cart,1511747385,384.76
180089,1116721,全友,2509,全友书柜 1.8m 白色,家居用品,2884020,buy,1511998331,4784.11
101640,1988867,荣耀,111804,荣耀Magic6 Pro 512GB 紫色,电子产品,1788515,buy,1512022068,2037.51
390782,7594339,西门子,718578,西门子洗碗机SJ236I00JC,家用电器,8888283,buy,1511810578,1103.42
929130,3739556,李宁,693143,李宁运动鞋 超轻20 红色 40码,服装鞋帽,6347472,buy,1512084643,570.87
776502,567938,华为,339116,华为Mate 60 Pro 512GB 黑色,电子产品,1788515,buy,1511905800,6226.75
943135,9028628,可口可乐,927706,可口可乐芬达 330ml*24罐,食品饮料,7142910,pv,1511974819,76.63
594379,450016,资生堂,318919,资生堂洗面奶 120g,美妆护肤,7040903,buy,1512212747,644.72
821466,2369032,联想,436330,联想小新Pro16 i7/16GB/1TB,电子产品,1788515,buy,1512187446,12742.0
446747,5931368,索菲亚,803490,索菲亚电视柜 2m 白色,家居用品,2884020,buy,1512050808,2712.85
988970,4764854,雅诗兰黛,430064,雅诗兰黛小棕瓶精华 50ml,美妆护肤,7040903,buy,1512119981,2753.62
150126,3160812,OPPO,455018,OPPOFind X7 Ultra 1TB 黑色,电子产品,1788515,buy,1511908662,6411.91
602514,204773,GAP,207780,GAP牛仔裤 直筒款 黑色 32码,服装鞋帽,6347472,buy,1512066068,303.67
588461,8021403,迪奥,822650,迪奥精华液 30ml,美妆护肤,7040903,buy,1511915594,411.26
551574,2044491,阿迪达斯,652847,阿迪达斯运动袜 3双装 绿色 XXL码,服装鞋帽,6347472,buy,1511754598,162.78
112038,9386381,ZARA,1667,ZARA休闲外套 黄色 XL码,服装鞋帽,6347472,buy,1512147116,928.24
978157,2288023,森马,329714,森马休闲外套 棕色 XL码,服装鞋帽,6347472,buy,1512123179,605.03
453487,319015,顾家,257671,顾家储物床 1.5m 棕色,家居用品,2884020,buy,1512179256,2745.01
637333,4519006,太平鸟,295499,太平鸟直筒牛仔裤 红色 XXL码,服装鞋帽,6347472,pv,1512067258,384.76
322096,567938,华为,339116,华为Mate 60 Pro 512GB 黑色,电子产品,1788515,pv,1511777237,6226.75
996840,9922972,小米,307716,小米14 Ultra 1TB 白色,电子产品,1788515,buy,1511972219,3918.36
971776,3928639,H&M,912310,H&M女士连衣裙 白色 M码,服装鞋帽,6347472,buy,1512042288,335.8
320281,2288023,森马,329714,森马休闲外套 棕色 XL码,服装鞋帽,6347472,buy,1511824714,605.03
535810,3928639,H&M,912310,H&M女士连衣裙 白色 M码,服装鞋帽,6347472,buy,1512096789,335.8
594379,6440356,苹果,849003,苹果MacBook Pro M2 16GB/512GB,电子产品,1788515,pv,1511977450,10230.41
820775,3787731,美的,528928,美的冰箱BCD-638WKPZM(E),家用电器,8888283,buy,1511839309,3261.4
464863,3753127,李宁,693143,李宁跑步鞋 赤兔6 黑色 42码,服装鞋帽,6347472,buy,1512315824,426.81
612311,6448942,伊利,353571,伊利QQ星 125ml*20盒,食品饮料,7142910,buy,1511853253,26.02
550797,8455672,雅诗兰黛,430064,雅诗兰黛DW粉底液 象牙白 30ml,美妆护肤,7040903,buy,1511843617,393.31
969226,213997,VIVO,647850,VIVOX100 256GB 蓝色,电子产品,1788515,buy,1512120202,6667.81
443848,1755134,可口可乐,927706,可口可乐零度可乐 330ml*24罐,食品饮料,7142910,buy,1511985747,77.52
988456,903142,森马,329714,森马牛仔裤 修身款 蓝色 30码,服装鞋帽,6347472,buy,1512317042,193.43
313487,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,buy,1511808225,5765.1
449218,3061679,统一,188064,统一汤达人 130g*5袋,食品饮料,7142910,buy,1511816503,36.19
482746,903142,森马,329714,森马牛仔裤 修身款 蓝色 30码,服装鞋帽,6347472,cart,1512125685,193.43
166857,5959961,统一,188064,统一阿萨姆奶茶 500ml*15瓶,食品饮料,7142910,buy,1511721142,58.6
965401,9302407,ZARA,1667,ZARA碎花连衣裙 黄色 L码,服装鞋帽,6347472,buy,1511844400,158.71
101640,8359777,安踏,179263,安踏运动袜 3双装 黄色 XL码,服装鞋帽,6347472,pv,1512124859,97.74
883618,8021403,迪奥,822650,迪奥精华液 30ml,美妆护肤,7040903,buy,1511813645,411.26
976566,2734479,格力,434092,格力微波炉P70-20L,家用电器,8888283,pv,1512274186,1624.95
446305,8477582,美的,528928,美的微波炉M3-L232F,家用电器,8888283,pv,1512059738,623.65
148050,4547348,OPPO,455018,OPPOReno11 Pro 256GB 绿色,电子产品,1788515,buy,1511829458,1774.2
975136,4764854,雅诗兰黛,430064,雅诗兰黛小棕瓶精华 50ml,美妆护肤,7040903,buy,1511795978,2753.62
238739,567938,华为,339116,华为Mate 60 Pro 512GB 黑色,电子产品,1788515,buy,1512059472,6226.75
159653,5596741,西门子,718578,西门子冰箱KA92NV02TI,家用电器,8888283,buy,1512113981,5730.1
725726,3250465,海尔,571650,海尔洗衣机G100368HBD14LSU1,家用电器,8888283,pv,1512108831,4195.69
101773,7646024,ZARA,1667,ZARA商务衬衫 白色 M码,服装鞋帽,6347472,pv,1511895153,314.05
307428,1599816,美的,528928,美的电视85Q10G Pro,家用电器,8888283,buy,1512120878,1259.4
101773,3787731,美的,528928,美的冰箱BCD-638WKPZM(E),家用电器,8888283,buy,1512008003,3261.4
669605,4447443,老板,109436,老板油烟机CXW-260-27A3,家用电器,8888283,fav,1512120896,4673.99
557058,2388951,蒙牛,124278,蒙牛酸奶 200g*12杯,食品饮料,7142910,buy,1511847368,19.32
699425,319015,顾家,257671,顾家储物床 1.5m 棕色,家居用品,2884020,pv,1512158538,2745.01
944962,5769243,美的,528928,美的空调KFR-35GW/N8HE1,家用电器,8888283,buy,1511771124,3566.12
197584,7149676,优衣库,166135,优衣库外套 轻型羽绒 灰色 XXL码,服装鞋帽,6347472,buy,1511879742,716.77
557058,1174435,李宁,693143,李宁运动服 训练系列 蓝色 M码,服装鞋帽,6347472,buy,1511977389,284.11
127032,8569010,蒙牛,124278,蒙牛特仑苏 250ml*12盒,食品饮料,7142910,buy,1512116713,44.26
806537,5769243,美的,528928,美的空调KFR-35GW/N8HE1,家用电器,8888283,buy,1512052214,3566.12
595631,5876807,欧派,934621,欧派布艺沙发 3人位 白色,家居用品,2884020,buy,1512012997,4397.9
359778,9553189,伊利,353571,伊利安慕希 205g*12杯,食品饮料,7142910,buy,1511886196,52.38
174878,2889495,华硕,838697,华硕灵耀14 i5/16GB/512GB,电子产品,1788515,buy,1512018447,7916.2
592841,1041272,伊利,353571,百事七喜 330ml*24罐,食品饮料,7142910,buy,1512195239,22.71
572436,7428837,欧派,934621,欧派岩板餐桌 1.4m 棕色,家居用品,2884020,buy,1512146467,2592.1
595404,1697102,安踏,179263,安踏运动外套 防风系列 蓝色 XL码,服装鞋帽,6347472,pv,1511882399,557.15
362529,9302407,ZARA,1667,ZARA碎花连衣裙 黄色 L码,服装鞋帽,6347472,buy,1512204958,158.71
159653,5089357,H&M,912310,H&M基础款T恤 黄色 S码,服装鞋帽,6347472,buy,1511864551,114.97
685181,5667640,李宁,693143,李宁篮球鞋 音速11 白色 43码,服装鞋帽,6347472,buy,1512181632,567.92
985506,3061679,统一,188064,统一汤达人 130g*5袋,食品饮料,7142910,buy,1512018573,36.19
322423,1015679,宜家,593883,宜家书桌 1.2m 白色,家居用品,2884020,pv,1512099917,3606.76
879238,450016,资生堂,318919,资生堂洗面奶 120g,美妆护肤,7040903,buy,1511854977,644.72
260265,701828,VIVO,647850,VIVOX100 Pro 512GB 钛色,电子产品,1788515,buy,1511977688,2699.06
432711,5363058,西门子,718578,西门子洗衣机WM14U561HW,家用电器,8888283,pv,1512298402,5062.98
859359,3744636,华为,339116,华为MatePad Pro 12.6寸 i5/8GB/256GB,电子产品,1788515,buy,1511980710,4415.07
921874,4603543,康师傅,358953,康师傅鲜虾鱼板面 100g*5袋,食品饮料,7142910,buy,1512105837,26.95
537983,2654249,老板,109436,老板集成灶S2系列,家用电器,8888283,cart,1511925136,3723.78
429963,5247402,阿迪达斯,652847,阿迪达斯运动T恤 Climalite 白色 M码,服装鞋帽,6347472,buy,1511671771,160.91
823108,9922972,小米,307716,小米14 Ultra 1TB 白色,电子产品,1788515,buy,1511957107,3918.36
664365,4083974,小米,307716,小米Pad 6 Pro 8GB/256GB,电子产品,1788515,buy,1511849729,5115.64
415029,1988867,荣耀,111804,荣耀Magic6 Pro 512GB 紫色,电子产品,1788515,buy,1511836887,2037.51
418594,319015,顾家,257671,顾家储物床 1.5m 棕色,家居用品,2884020,pv,1511757258,2745.01
217301,4912883,迪奥,822650,迪奥香水 花香调 50ml,美妆护肤,7040903,buy,1511872701,577.74
587213,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,buy,1512141975,176.21
649697,9435421,康师傅,358953,康师傅绿茶 500ml*12瓶,食品饮料,7142910,buy,1511978892,53.31
774020,6068189,三星,517820,三星Galaxy Tab S9 12GB/512GB,电子产品,1788515,buy,1511854681,16932.36
409727,7317745,可口可乐,927706,可口可乐可乐 330ml*24罐,食品饮料,7142910,buy,1511832932,57.14
109717,9338792,优衣库,166135,优衣库T恤 圆领纯棉 黑色 M码,服装鞋帽,6347472,buy,1511802155,227.12
825391,7149676,优衣库,166135,优衣库外套 轻型羽绒 灰色 XXL码,服装鞋帽,6347472,buy,1512087720,716.77
292988,1116721,全友,2509,全友书柜 1.8m 白色,家居用品,2884020,buy,1511864650,4784.11
955088,8703665,全友,2509,全友家居推拉门衣柜 2m 米色,家居用品,2884020,cart,1511891581,5195.16
753534,7954204,太平鸟,295499,太平鸟商务衬衫 白色 L码,服装鞋帽,6347472,buy,1512054914,429.08
384815,265553,兰蔻,783723,兰蔻菁纯口红 正红色,美妆护肤,7040903,buy,1511812745,246.61
579434,413384,戴尔,826566,戴尔XPS15 i7/32GB/2TB,电子产品,1788515,buy,1512020073,14348.67
326895,2388951,蒙牛,124278,蒙牛酸奶 200g*12杯,食品饮料,7142910,buy,1511751334,19.32
799539,4090109,小米,307716,小米13 Pro 512GB 蓝色,电子产品,1788515,buy,1512256382,4777.42
578987,4131957,资生堂,318919,资生堂防晒霜 50g,美妆护肤,7040903,cart,1511858470,267.94
487477,6440356,苹果,849003,苹果MacBook Pro M2 16GB/512GB,电子产品,1788515,buy,1512055350,10230.41
444525,8021403,迪奥,822650,迪奥精华液 30ml,美妆护肤,7040903,buy,1512004467,411.26
502206,5743270,联想,436330,联想ThinkPad X1 Carbon i7/16GB/1TB,电子产品,1788515,buy,1511861005,3534.12
818264,1599816,美的,528928,美的电视85Q10G Pro,家用电器,8888283,fav,1511890778,1259.4
267753,5491240,老板,109436,老板消毒柜ZTD100S-W727,家用电器,8888283,fav,1512084528,2298.27
607774,4603543,康师傅,358953,康师傅鲜虾鱼板面 100g*5袋,食品饮料,7142910,buy,1512265644,26.95
570405,1015679,宜家,593883,宜家书桌 1.2m 白色,家居用品,2884020,buy,1511857333,3606.76
882032,7594339,西门子,718578,西门子洗碗机SJ236I00JC,家用电器,8888283,buy,1511878135,1103.42
213346,2491976,阿迪达斯,652847,阿迪达斯运动长裤 Tiro 21 黑色 XXL码,服装鞋帽,6347472,pv,1511972136,176.21
397571,450016,资生堂,318919,资生堂洗面奶 120g,美妆护肤,7040903,buy,1511931564,644.72
402218,4004170,海尔,571650,海尔冰箱BCD-478WDPD,家用电器,8888283,buy,1511941826,5326.21
335137,9362627,方太,877093,方太集成灶X1系列,家用电器,8888283,buy,1512042108,734.0
547952,1116721,全友,2509,全友书柜 1.8m 白色,家居用品,2884020,buy,1511923862,4784.11
109717,8703665,全友,2509,全友家居推拉门衣柜 2m 米色,家居用品,2884020,buy,1512103924,5195.16
748052,3335552,索菲亚,803490,索菲亚餐椅 原木色,家居用品,2884020,buy,1512177949,320.84
532322,4964744,戴尔,826566,戴尔游匣G15 i7/16GB/1TB,电子产品,1788515,buy,1511746295,7884.27
533649,3739556,李宁,693143,李宁运动鞋 超轻20 红色 40码,服装鞋帽,6347472,buy,1512046526,570.87
913423,4547348,OPPO,455018,OPPOReno11 Pro 256GB 绿色,电子产品,1788515,buy,1511905403,1774.2
416613,1755134,可口可乐,927706,可口可乐零度可乐 330ml*24罐,食品饮料,7142910,buy,1511889599,77.52
630108,1041272,伊利,353571,百事七喜 330ml*24罐,食品饮料,7142910,buy,1511938034,22.71
434165,5382909,顾家,257671,顾家家居实木书桌 1.6m 棕色,家居用品,2884020,buy,1512052984,1790.83
216970,1017947,格力,434092,格力变频冰箱 BCD-520WPQC,家用电器,8888283,buy,1512295818,7436.6
297303,3715670,统一,188064,百事美年达 330ml*24罐,食品饮料,7142910,buy,1511829904,38.77
665979,6910038,阿迪达斯,652847,阿迪达斯运动鞋 Ultraboost 22 蓝色 41码,服装鞋帽,6347472,buy,1512131157,695.67
913217,2369032,联想,436330,联想小新Pro16 i7/16GB/1TB,电子产品,1788515,buy,1511901815,12742.0
597960,3412254,欧派,934621,欧派北欧风双人床 1.8m 米色,家居用品,2884020,pv,1512018361,2497.56
953025,7780646,兰蔻,783723,兰蔻精华液 30ml,美妆护肤,7040903,buy,1511607816,2632.79
592296,6873043,索菲亚,803490,索菲亚真皮床 1.8m 白色,家居用品,2884020,buy,1512202005,4609.4
267082,5382909,顾家,257671,顾家家居实木书桌 1.6m 棕色,家居用品,2884020,buy,1511881118,1790.83
696856,3753127,李宁,693143,李宁跑步鞋 赤兔6 黑色 42码,服装鞋帽,6347472,pv,1511826784,426.81
476993,976821,格力,434092,格力洗衣机XQG100-BD14086,家用电器,8888283,buy,1511917832,5765.1
805511,265553,兰蔻,783723,兰蔻菁纯口红 正红色,美妆护肤,7040903,buy,1512077433,246.61
868544,1599816,美的,528928,美的电视85Q10G Pro,家用电器,8888283,buy,1511953866,1259.4
550089,903142,森马,329714,森马牛仔裤 修身款 蓝色 30码,服装鞋帽,6347472,buy,1512138072,193.43
343500,3117428,老板,109436,老板集成灶YKW-200-JZ,家用电器,8888283,pv,1512231933,4661.4
957730,274404,方太,877093,方太洗碗机JBSD2T-X1S,家用电器,8888283,buy,1511653581,775.68
723948,450016,资生堂,318919,资生堂洗面奶 120g,美妆护肤,7040903,buy,1512161740,644.72
168093,1297632,顾家,257671,顾家茶几 60cm 灰色,家居用品,2884020,buy,1511973161,1642.62
458955,5954090,华硕,838697,华硕天选4 i7/16GB/1TB,电子产品,1788515,buy,1512138420,2346.39
891937,5769243,美的,528928,美的空调KFR-35GW/N8HE1,家用电器,8888283,pv,1511885005,3566.12
480133,319015,顾家,257671,顾家储物床 1.5m 棕色,家居用品,2884020,buy,1512054431,2745.01
639593,2734479,格力,434092,格力微波炉P70-20L,家用电器,8888283,buy,1511665927,1624.95
457137,6068189,三星,517820,三星Galaxy Tab S9 12GB/512GB,电子产品,1788515,buy,1511845944,16932.36
584838,8821418,资生堂,318919,资生堂红腰子精华 50ml,美妆护肤,7040903,buy,1511940605,870.74
201883,3250465,海尔,571650,海尔洗衣机G100368HBD14LSU1,家用电器,8888283,buy,1512107269,4195.69
663054,9302407,ZARA,1667,ZARA碎花连衣裙 黄色 L码,服装鞋帽,6347472,buy,1511877132,158.71
484123,1116721,全友,2509,全友书柜 1.8m 白色,家居用品,2884020,buy,1511797705,4784.11
787836,6604951,H&M,912310,H&M男士衬衫 棕色 S码,服装鞋帽,6347472,buy,1511819601,340.34
